DATE,LRUN74TTESQ156S
1999-01-01,16.4636440703472
1999-04-01,15.7656148081219
1999-07-01,15.4730895299548
1999-10-01,15.1406902488159
2000-01-01,14.4598830588668
2000-04-01,14.0423704584877
2000-07-01,13.7962600806448
2000-10-01,13.3976422537644
2001-01-01,10.5371070935784
2001-04-01,10.5750363666686
2001-07-01,10.4898929555678
2001-10-01,10.6081671678974
2002-01-01,11.1718770482
2002-04-01,11.3521485430636
2002-07-01,11.6850813578847
2002-10-01,11.5999491483094
2003-01-01,11.6325667636622
2003-04-01,11.455022101391
2003-07-01,11.5072573694572
2003-10-01,11.3608003870406
2004-01-01,11.1562729918976
2004-04-01,11.2065689256662
2004-07-01,10.9868974452762
2004-10-01,10.5265841522149
2005-01-01,9.8123526064436
2005-04-01,9.39272500677401
2005-07-01,8.71448959097959
2005-10-01,8.7106581080838
2006-01-01,8.64982933903976
2006-04-01,8.50167416885325
2006-07-01,8.42010547346215
2006-10-01,8.26983599455596
2007-01-01,8.021642598545
2007-04-01,7.97745047565842
2007-07-01,8.37473900825042
2007-10-01,8.56693133703346
2008-01-01,9.15528322036845
2008-04-01,10.389946119663
2008-07-01,11.6643275983916
2008-10-01,13.7887729855301
2009-01-01,16.8391666018663
2009-04-01,17.6811025814681
2009-07-01,18.1442238064752
2009-10-01,18.8172399717066
2010-01-01,19.3750714398979
2010-04-01,19.8624829164368
2010-07-01,19.9737087025813
2010-10-01,20.2748961284351
2011-01-01,20.5946529901941
2011-04-01,20.7371545314908
2011-07-01,21.6576728318372
2011-10-01,22.6243012704123
2012-01-01,23.5733656845523
2012-04-01,24.5443259382781
2012-07-01,25.267500207432
2012-10-01,25.8321410133117
2013-01-01,26.2529805158981
2013-04-01,26.2263781342164
2013-07-01,26.1427172419955
2013-10-01,25.8041294679698
2014-01-01,25.3501487816345
2014-04-01,24.5674325262849
2014-07-01,24.1095499923275
2014-10-01,23.7906888787567
2015-01-01,23.1676732214844
2015-04-01,22.3791679924886
2015-07-01,21.6445131558432
2015-10-01,21.0689265625736
2016-01-01,20.4231609318814
2016-04-01,20.0328783193843
2016-07-01,19.3484475604868
2016-10-01,18.7629423696457
2017-01-01,18.2060723555044
2017-04-01,17.3342981252212
2017-07-01,16.7918712982846
2017-10-01,16.5889088268387
2018-01-01,16.1508314771445
2018-04-01,15.4142155957248
2018-07-01,14.9092379994748
2018-10-01,14.583362383755
2019-01-01,14.2897013372888
2019-04-01,14.1263819382437
2019-07-01,14.0550111232001
2019-10-01,13.9848378837648
2020-01-01,14.2788422561838
2020-04-01,15.4973510871053
2020-07-01,16.2178218671949
2020-10-01,16.1829283594136
2021-01-01,15.6429845496486
2021-04-01,15.3750729919277
2021-07-01,14.6388715014427
2021-10-01,13.5188245360075
2022-01-01,13.3374250346938
2022-04-01,12.6759544264872
2022-07-01,12.7142730728347
2022-10-01,12.9718913845043
2023-01-01,12.9081305662905
